#Release 10.1.03 - par K.39 (lin64)
#Copyright (c) 1995-2008 Xilinx, Inc.  All rights reserved.

#Tue Nov 29 16:48:58 2011

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       labkit_map.ncd
#OUTPUT FILE:      labkit_pad.csv
#PART TYPE:        xc2v6000
#SPEED GRADE:      -4
#PACKAGE:          bf957
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,DCI Value,IO Register,Signal Integrity,
A28,user4<31>,IOB,IO_L06N_0,INPUT,LVTTL*,0,,,,NONE,,LOCATED,,NO,NONE,
A29,,,GND,,,,,,,,,,,,,
A30,,,GND,,,,,,,,,,,,,
AA1,ram1_data<10>,IOB,IO_L68N_3,OUTPUT,LVDCI_33,3,,NONE*,NONE**,,,LOCATED,,YES,DRIVER,
AA2,ram1_data<11>,IOB,IO_L53N_3,OUTPUT,LVDCI_33,3,,NONE*,NONE**,,,LOCATED,,YES,DRIVER,
AA3,ram1_data<4>,IOB,IO_L50N_3,OUTPUT,LVDCI_33,3,,NONE*,NONE**,,,LOCATED,,YES,DRIVER,
AA4,ram1_data<3>,IOB,IO_L52N_3,OUTPUT,LVDCI_33,3,,NONE*,NONE**,,,LOCATED,,YES,DRIVER,
AA5,ram1_data<5>,IOB,IO_L72P_3,OUTPUT,LVDCI_33,3,,NONE*,NONE**,,,LOCATED,,YES,DRIVER,
AA6,ram1_we_b,IOB,IO_L54N_3,OUTPUT,LVDCI_33,3,,NONE*,NONE**,,,LOCATED,,NO,DRIVER,
AA7,ram1_address<12>,IOB,IO_L67P_3,OUTPUT,LVDCI_33,3,,NONE*,NONE**,,,LOCATED,,NO,DRIVER,
AA8,ram1_address<3>,IOB,IO_L45P_3,OUTPUT,LVDCI_33,3,,NONE*,NONE**,,,LOCATED,,NO,DRIVER,
AA9,ram1_data<35>,IOB,IO_L23N_3,OUTPUT,LVDCI_33,3,,NONE*,NONE**,,,LOCATED,,YES,DRIVER,
AA10,,DIFFM,IO_L27P_3,UNUSED,,3,,,,,,,,,,
AA11,,,VCCINT,,,,,,,,1.5,,,,,
AA12,,,VCCO_4,,,4,,,,,3.30,,,,,
AA13,,,VCCO_4,,,4,,,,,3.30,,,,,
AA14,,,VCCO_4,,,4,,,,,3.30,,,,,
AA15,,,VCCO_4,,,4,,,,,3.30,,,,,
AA16,,,VCCINT,,,,,,,,1.5,,,,,
AA17,,,VCCO_5,,,5,,,,,3.30,,,,,
AA18,,,VCCO_5,,,5,,,,,3.30,,,,,
AA19,,,VCCO_5,,,5,,,,,3.30,,,,,
AA20,,,VCCO_5,,,5,,,,,3.30,,,,,
AA21,,,VCCINT,,,,,,,,1.5,,,,,
AA22,,DIFFM,IO_L19P_6,UNUSED,,6,,,,,,,,,,
AA23,,DIFFM,IO_L44P_6,UNUSED,,6,,,,,,,,,,
AA24,ram0_address<2>,IOB,IO_L25N_6,OUTPUT,LVDCI_33,6,,NONE*,NONE**,,,LOCATED,,NO,DRIVER,
AA25,ram0_data<26>,IOB,IO_L48P_6,OUTPUT,LVDCI_33,6,,NONE*,NONE**,,,LOCATED,,YES,DRIVER,
AA26,ram0_address<3>,IOB,IO_L51P_6,OUTPUT,LVDCI_33,6,,NONE*,NONE**,,,LOCATED,,NO,DRIVER,
AA27,ram0_data<8>,IOB,IO_L50N_6,OUTPUT,LVDCI_33,6,,NONE*,NONE**,,,LOCATED,,YES,DRIVER,
AA28,ram0_data<16>,IOB,IO_L46N_6,OUTPUT,LVDCI_33,6,,NONE*,NONE**,,,LOCATED,,YES,DRIVER,
AA29,,DIFFM,IO_L70P_6,UNUSED,,6,,,,,,,,,,
AA30,ram0_data<2>,IOB,IO_L67N_6,OUTPUT,LVDCI_33,6,,NONE*,NONE**,,,LOCATED,,YES,DRIVER,
AA31,ram0_data<1>,IOB,IO_L69N_6/VREF_6,OUTPUT,LVDCI_33,6,,NONE*,NONE**,,,LOCATED,,YES,DRIVER,
AB1,ram1_data<12>,IOB,IO_L68P_3,OUTPUT,LVDCI_33,3,,NONE*,NONE**,,,LOCATED,,YES,DRIVER,
AB2,ram1_data<13>,IOB,IO_L53P_3,OUTPUT,LVDCI_33,3,,NONE*,NONE**,,,LOCATED,,YES,DRIVER,
AB3,ram1_address<18>,IOB,IO_L50P_3,OUTPUT,LVDCI_33,3,,NONE*,NONE**,,,LOCATED,,NO,DRIVER,
AB4,,,GND,,,,,,,,,,,,,
AB5,,DIFFS,IO_L49N_3,UNUSED,,3,,,,,,,,,,
AB6,,,VCCO_3,,,3,,,,,3.30,,,,,
AB7,ram1_address<11>,IOB,IO_L43N_3,OUTPUT,LVDCI_33,3,,NONE*,NONE**,,,LOCATED,,NO,DRIVER,
AB8,ram1_address<4>,IOB,IO_L20N_3,OUTPUT,LVDCI_33,3,,NONE*,NONE**,,,LOCATED,,NO,DRIVER,
AB9,ram1_data<26>,IOB,IO_L23P_3,OUTPUT,LVDCI_33,3,,NONE*,NONE**,,,LOCATED,,YES,DRIVER,
AB10,,DIFFS,IO_L05N_3,UNUSED,,3,,,,,,,,,,
AB11,,DIFFM,IO_L05P_3,UNUSED,,3,,,,,,,,,,
AB12,button3,IOB,IO_L22N_4,INPUT,LVTTL*,4,,,,NONE,,LOCATED,,NO,NONE,
AB13,,DIFFM,IO_L22P_4,UNUSED,,4,,,,,,,,,,
AB14,,DIFFS,IO_L76N_4,UNUSED,,4,,,,,,,,,,
AB15,,,VCCINT,,,,,,,,1.5,,,,,
AB16,,,GND,,,,,,,,,,,,,
AB17,,,VCCINT,,,,,,,,1.5,,,,,
AB18,,DIFFM,IO_L77P_5,UNUSED,,5,,,,,,,,,,
AB19,,DIFFS,IO_L53N_5,UNUSED,,5,,,,,,,,,,
AB20,switch<4>,IOB,IO_L53P_5,INPUT,LVTTL*,5,,,,NONE,,LOCATED,,NO,NONE,
AB21,tv_in_clock,IOB,IO_L20N_5,OUTPUT,LVDCI_33,5,,NONE*,NONE**,,,LOCATED,,NO,DRIVER,
AB22,,DIFFM,IO_L04P_6,UNUSED,,6,,,,,,,,,,
AB23,,DIFFS,IO_L04N_6,UNUSED,,6,,,,,,,,,,
AB24,ram0_address<5>,IOB,IO_L25P_6,OUTPUT,LVDCI_33,6,,NONE*,NONE**,,,LOCATED,,NO,DRIVER,
AB25,ram0_data<35>,IOB,IO_L27N_6/VREF_6,OUTPUT,LVDCI_33,6,,NONE*,NONE**,,,LOCATED,,YES,DRIVER,
AB26,,,VCCO_6,,,6,,,,,3.30,,,,,
AB27,ram0_address<10>,IOB,IO_L50P_6,OUTPUT,LVDCI_33,6,,NONE*,NONE**,,,LOCATED,,NO,DRIVER,
AB28,,,GND,,,,,,,,,,,,,
AB29,ram0_address<1>,IOB,IO_L49N_6,OUTPUT,LVDCI_33,6,,NONE*,NONE**,,,LOCATED,,NO,DRIVER,
AB30,ram0_data<4>,IOB,IO_L67P_6,OUTPUT,LVDCI_33,6,,NONE*,NONE**,,,LOCATED,,YES,DRIVER,
AB31,ram0_data<3>,IOB,IO_L69P_6,OUTPUT,LVDCI_33,6,,NONE*,NONE**,,,LOCATED,,YES,DRIVER,
AC1,ram1_data<14>,IOB,IO_L47N_3,OUTPUT,LVDCI_33,3,,NONE*,NONE**,,,LOCATED,,YES,DRIVER,
AC2,ram1_data<15>,IOB,IO_L44N_3,OUTPUT,LVDCI_33,3,,NONE*,NONE**,,,LOCATED,,YES,DRIVER,
AC3,ram1_data<7>,IOB,IO_L46N_3,OUTPUT,LVDCI_33,3,,NONE*,NONE**,,,LOCATED,,YES,DRIVER,
AC4,ram1_data<6>,IOB,IO_L52P_3,OUTPUT,LVDCI_33,3,,NONE*,NONE**,,,LOCATED,,YES,DRIVER,
AC5,ram1_address<17>,IOB,IO_L49P_3,OUTPUT,LVDCI_33,3,,NONE*,NONE**,,,LOCATED,,NO,DRIVER,
AC6,ram1_address<10>,IOB,IO_L54P_3,OUTPUT,LVDCI_33,3,,NONE*,NONE**,,,LOCATED,,NO,DRIVER,
AC7,,DIFFM,IO_L43P_3,UNUSED,,3,,,,,,,,,,
AC8,ram1_address<5>,IOB,IO_L20P_3,OUTPUT,LVDCI_33,3,,NONE*,NONE**,,,LOCATED,,NO,DRIVER,
AC9,,,GND,,,,,,,,,,,,,
AC10,vga_out_pixel_clock,IOB,IO_L19N_4,OUTPUT,LVTTL*,4,12,SLOW,NONE**,,,LOCATED,,YES,NONE,
AC11,vga_out_vsync,IOB,IO_L19P_4,OUTPUT,LVTTL*,4,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
AC12,vga_out_green<0>,IOB,IO_L67N_4,OUTPUT,LVTTL*,4,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
AC13,vga_out_hsync,IOB,IO_L67P_4,OUTPUT,LVTTL*,4,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
AC14,vga_out_green<2>,IOB,IO_L76P_4,OUTPUT,LVTTL*,4,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
AC15,mouse_data,IOB,IO_L91N_4/VREF_4,INPUT,LVTTL*,4,,,,NONE,,LOCATED,,NO,NONE,
AC16,mouse_clock,IOB,IO_L91P_4,INPUT,LVTTL*,4,,,,NONE,,LOCATED,,NO,NONE,
AC17,ac97_synch,IOB,IO_L77N_5,OUTPUT,LVDCI_33,5,,NONE*,NONE**,,,LOCATED,,NO,DRIVER,
AC18,ac97_sdata_out,IOB,IO_L74N_5,OUTPUT,LVDCI_33,5,,NONE*,NONE**,,,LOCATED,,NO,DRIVER,
AC19,beep,IOB,IO_L74P_5,OUTPUT,LVDCI_33,5,,NONE*,NONE**,,,LOCATED,,NO,DRIVER,
AC20,switch<5>,IOB,IO_L29N_5,INPUT,LVTTL*,5,,,,NONE,,LOCATED,,NO,NONE,
AC21,switch<3>,IOB,IO_L29P_5,INPUT,LVTTL*,5,,,,NONE,,LOCATED,,NO,NONE,
AC22,tv_in_fifo_read,IOB,IO_L20P_5,OUTPUT,LVDCI_33,5,,NONE*,NONE**,,,LOCATED,,NO,DRIVER,
AC23,,,GND,,,,,,,,,,,,,
AC24,ram0_address<14>,IOB,IO_L20N_6,OUTPUT,LVDCI_33,6,,NONE*,NONE**,,,LOCATED,,NO,DRIVER,
AC25,ram0_address<4>,IOB,IO_L27P_6,OUTPUT,LVDCI_33,6,,NONE*,NONE**,,,LOCATED,,NO,DRIVER,
AC26,ram0_address<0>,IOB,IO_L22N_6,OUTPUT,LVDCI_33,6,,NONE*,NONE**,,,LOCATED,,NO,DRIVER,
AC27,ram0_address<11>,IOB,IO_L47N_6,OUTPUT,LVDCI_33,6,,NONE*,NONE**,,,LOCATED,,NO,DRIVER,
AC28,,DIFFM,IO_L46P_6,UNUSED,,6,,,,,,,,,,
AC29,,DIFFM,IO_L49P_6,UNUSED,,6,,,,,,,,,,
AC30,ram0_data<6>,IOB,IO_L45N_6/VREF_6,OUTPUT,LVDCI_33,6,,NONE*,NONE**,,,LOCATED,,YES,DRIVER,
AC31,ram0_data<5>,IOB,IO_L52N_6,OUTPUT,LVDCI_33,6,,NONE*,NONE**,,,LOCATED,,YES,DRIVER,
AD1,ram1_data<16>,IOB,IO_L47P_3,OUTPUT,LVDCI_33,3,,NONE*,NONE**,,,LOCATED,,YES,DRIVER,
AD2,,,GND,,,,,,,,,,,,,
AD3,ram1_address<9>,IOB,IO_L46P_3,OUTPUT,LVDCI_33,3,,NONE*,NONE**,,,LOCATED,,NO,DRIVER,
AD4,ram1_address<8>,IOB,IO_L22N_3,OUTPUT,LVDCI_33,3,,NONE*,NONE**,,,LOCATED,,NO,DRIVER,
AD5,ram1_data<18>,IOB,IO_L21N_3/VREF_3,OUTPUT,LVDCI_33,3,,NONE*,NONE**,,,LOCATED,,YES,DRIVER,
AD6,,DIFFS,IO_L03N_3/VREF_3,UNUSED,,3,,,,,,,,,,
AD7,ram1_address<0>,IOB,IO_L03P_3,OUTPUT,LVDCI_33,3,,NONE*,NONE**,,,LOCATED,,NO,DRIVER,
AD8,,,GND,,,,,,,,,,,,,
AD9,analyzer4_clock,IOB,IO_L01N_4/DOUT,OUTPUT,LVTTL*,4,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
AD10,,DIFFM,IO_L01P_4/INIT_B,UNUSED,,4,,,,,,,,,,
AD11,button2,IOB,IO_L28N_4,INPUT,LVTTL*,4,,,,NONE,,LOCATED,,NO,NONE,
AD12,vga_out_red<5>,IOB,IO_L28P_4,OUTPUT,LVTTL*,4,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
AD13,analyzer4_data<3>,IOB,IO_L70N_4,OUTPUT,LVTTL*,4,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
AD14,,,VCCO_4,,,4,,,,,3.30,,,,,
AD15,vga_out_green<3>,IOB,IO_L70P_4,OUTPUT,LVTTL*,4,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
AD16,tv_in_line_clock1,IOB,IO_L95N_5/GCLK5S,INPUT,LVDCI_33,5,,,,NONE,,LOCATED,,NO,NONE,
AD17,tv_in_line_clock2,IOB,IO_L95P_5/GCLK4P,INPUT,LVDCI_33,5,,,,NONE,,LOCATED,,NO,NONE,
AD18,,,VCCO_5,,,5,,,,,3.30,,,,,
AD19,tv_in_i2c_data,IOB,IO_L68N_5,TRISTATE,LVDCI_33,5,,NONE*,NONE**,,,LOCATED,,NO,DRIVER,
AD20,tv_in_ycrcb<13>,IOB,IO_L68P_5,INPUT,LVTTL*,5,,,,NONE,,LOCATED,,NO,NONE,
AD21,tv_in_i2c_clock,IOB,IO_L26N_5,OUTPUT,LVDCI_33,5,,NONE*,NONE**,,,LOCATED,,NO,DRIVER,
AD22,switch<7>,IOB,IO_L26P_5,INPUT,LVTTL*,5,,,,NONE,,LOCATED,,NO,NONE,
AD23,,DIFFS,IO_L05N_5/VRP_5,UNUSED,,5,,,TERMINATION,,,,,,,
AD24,,,GND,,,,,,,,,,,,,
AD25,ram0_data<27>,IOB,IO_L20P_6,OUTPUT,LVDCI_33,6,,NONE*,NONE**,,,LOCATED,,YES,DRIVER,
AD26,ram0_address<13>,IOB,IO_L22P_6,OUTPUT,LVDCI_33,6,,NONE*,NONE**,,,LOCATED,,NO,DRIVER,
AD27,ram0_address<12>,IOB,IO_L47P_6,OUTPUT,LVDCI_33,6,,NONE*,NONE**,,,LOCATED,,NO,DRIVER,
AD28,ram0_address<16>,IOB,IO_L24N_6,OUTPUT,LVDCI_33,6,,NONE*,NONE**,,,LOCATED,,NO,DRIVER,
AD29,ram0_address<15>,IOB,IO_L23N_6,OUTPUT,LVDCI_33,6,,NONE*,NONE**,,,LOCATED,,NO,DRIVER,
AD30,,,GND,,,,,,,,,,,,,
AD31,ram0_data<7>,IOB,IO_L52P_6,OUTPUT,LVDCI_33,6,,NONE*,NONE**,,,LOCATED,,YES,DRIVER,
AE1,ram1_data<27>,IOB,IO_L25N_3,OUTPUT,LVDCI_33,3,,NONE*,NONE**,,,LOCATED,,YES,DRIVER,
AE2,ram1_data<28>,IOB,IO_L44P_3,OUTPUT,LVDCI_33,3,,NONE*,NONE**,,,LOCATED,,YES,DRIVER,
AE3,,,VCCO_3,,,3,,,,,3.30,,,,,
AE4,ram1_data<20>,IOB,IO_L22P_3,OUTPUT,LVDCI_33,3,,NONE*,NONE**,,,LOCATED,,YES,DRIVER,
AE5,ram1_data<19>,IOB,IO_L21P_3,OUTPUT,LVDCI_33,3,,NONE*,NONE**,,,LOCATED,,YES,DRIVER,
AE6,,DIFFS,IO_L02N_3/VRP_3,UNUSED,,3,,,TERMINATION,,,,,,,
AE7,,,GND,,,,,,,,,,,,,
AE8,vga_out_red<6>,IOB,IO_L04N_4/VREF_4,OUTPUT,LVTTL*,4,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
AE9,vga_out_red<7>,IOB,IO_L20N_4,OUTPUT,LVTTL*,4,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
AE10,button1,IOB,IO_L20P_4,INPUT,LVTTL*,4,,,,NONE,,LOCATED,,NO,NONE,
AE11,button0,IOB,IO_L49N_4,INPUT,LVTTL*,4,,,,NONE,,LOCATED,,NO,NONE,
AE12,disp_data_in,IOB,IO_L49P_4,INPUT,LVTTL*,4,,,,NONE,,LOCATED,,NO,NONE,
AE13,,,GND,,,,,,,,,,,,,
AE14,flash_address<1>,IOB,IO_L73N_4,OUTPUT,LVTTL*,4,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
AE15,disp_data_out,IOB,IO_L73P_4,OUTPUT,LVDCI_33,4,,NONE*,NONE**,,,LOCATED,,NO,DRIVER,
AE16,,,GND,,,,,,,,,,,,,
AE17,led<7>,IOB,IO_L92N_5,OUTPUT,LVTTL*,5,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
AE18,audio_reset_b,IOB,IO_L92P_5,OUTPUT,LVTTL*,5,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
AE19,,,GND,,,,,,,,,,,,,
AE20,tv_in_ycrcb<15>,IOB,IO_L50N_5,INPUT,LVTTL*,5,,,,NONE,,LOCATED,,NO,NONE,
AE21,led<1>,IOB,IO_L50P_5,OUTPUT,LVTTL*,5,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
AE22,led<0>,IOB,IO_L23N_5,OUTPUT,LVTTL*,5,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
AE23,switch<6>,IOB,IO_L23P_5,INPUT,LVTTL*,5,,,,NONE,,LOCATED,,NO,NONE,
AE24,,DIFFM,IO_L05P_5/VRN_5,UNUSED,,5,,,TERMINATION,,,,,,,
AE25,,,GND,,,,,,,,,,,,,
AE26,,DIFFM,IO_L02P_6/VRN_6,UNUSED,,6,,,TERMINATION,,,,,,,
AE27,,DIFFS,IO_L02N_6/VRP_6,UNUSED,,6,,,TERMINATION,,,,,,,
AE28,ram0_data<28>,IOB,IO_L24P_6,OUTPUT,LVDCI_33,6,,NONE*,NONE**,,,LOCATED,,YES,DRIVER,
AE29,,,VCCO_6,,,6,,,,,3.30,,,,,
AE30,ram0_data<19>,IOB,IO_L45P_6,OUTPUT,LVDCI_33,6,,NONE*,NONE**,,,LOCATED,,YES,DRIVER,
AE31,ram0_data<18>,IOB,IO_L43N_6,OUTPUT,LVDCI_33,6,,NONE*,NONE**,,,LOCATED,,YES,DRIVER,
AF1,ram1_data<29>,IOB,IO_L25P_3,OUTPUT,LVDCI_33,3,,NONE*,NONE**,,,LOCATED,,YES,DRIVER,
AF2,ram1_data<30>,IOB,IO_L24N_3,OUTPUT,LVDCI_33,3,,NONE*,NONE**,,,LOCATED,,YES,DRIVER,
AF3,ram1_data<21>,IOB,IO_L04N_3,OUTPUT,LVDCI_33,3,,NONE*,NONE**,,,LOCATED,,YES,DRIVER,
AF4,ram1_data<22>,IOB,IO_L06N_3,OUTPUT,LVDCI_33,3,,NONE*,NONE**,,,LOCATED,,YES,DRIVER,
AF5,,DIFFM,IO_L02P_3/VRN_3,UNUSED,,3,,,TERMINATION,,,,,,,
AF6,,,GND,,,,,,,,,,,,,
AF7,,DIFFS,IO_L02N_4/D0,UNUSED,,4,,,,,,,,,,
AF8,vga_out_red<4>,IOB,IO_L04P_4,OUTPUT,LVTTL*,4,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
AF9,vga_out_red<3>,IOB,IO_L26N_4,OUTPUT,LVTTL*,4,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
AF10,,,VCCO_4,,,4,,,,,3.30,,,,,
AF11,vga_out_red<0>,IOB,IO_L26P_4,OUTPUT,LVTTL*,4,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
AF12,disp_blank,IOB,IO_L52N_4,OUTPUT,LVDCI_33,4,,NONE*,NONE**,,,LOCATED,,NO,DRIVER,
AF13,disp_ce_b,IOB,IO_L52P_4,OUTPUT,LVDCI_33,4,,NONE*,NONE**,,,LOCATED,,NO,DRIVER,
AF14,disp_clock,IOB,IO_L74N_4,OUTPUT,LVDCI_33,4,,NONE*,NONE**,,,LOCATED,,NO,DRIVER,
AF15,disp_rs,IOB,IO_L74P_4,OUTPUT,LVDCI_33,4,,NONE*,NONE**,,,LOCATED,,NO,DRIVER,
AF16,keyboard_data,IOB,IO_L94N_4/VREF_4,INPUT,LVTTL*,4,,,,NONE,,LOCATED,,NO,NONE,
AF17,led<6>,IOB,IO_L93P_5,OUTPUT,LVTTL*,5,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
AF18,led<5>,IOB,IO_L71N_5,OUTPUT,LVTTL*,5,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
AF19,led<4>,IOB,IO_L71P_5,OUTPUT,LVTTL*,5,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
AF20,led<3>,IOB,IO_L51N_5/VREF_5,OUTPUT,LVTTL*,5,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
AF21,tv_in_ycrcb<14>,IOB,IO_L51P_5,INPUT,LVTTL*,5,,,,NONE,,LOCATED,,NO,NONE,
AF22,,,VCCO_5,,,5,,,,,3.30,,,,,
AF23,analyzer4_data<7>,IOB,IO_L03N_5/D4/ALT_VRP_5,OUTPUT,LVTTL*,5,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
AF24,analyzer4_data<8>,IOB,IO_L03P_5/D5/ALT_VRN_5,OUTPUT,LVTTL*,5,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
AF25,analyzer4_data<10>,IOB,IO_L02P_5/D7,OUTPUT,LVTTL*,5,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
AF26,,,GND,,,,,,,,,,,,,
AF27,ram0_data<31>,IOB,IO_L01P_6,OUTPUT,LVDCI_33,6,,NONE*,NONE**,,,LOCATED,,YES,DRIVER,
AF28,ram0_data<29>,IOB,IO_L01N_6,OUTPUT,LVDCI_33,6,,NONE*,NONE**,,,LOCATED,,YES,DRIVER,
AF29,ram0_data<30>,IOB,IO_L23P_6,OUTPUT,LVDCI_33,6,,NONE*,NONE**,,,LOCATED,,YES,DRIVER,
AF30,ram0_data<21>,IOB,IO_L21N_6/VREF_6,OUTPUT,LVDCI_33,6,,NONE*,NONE**,,,LOCATED,,YES,DRIVER,
AF31,ram0_data<20>,IOB,IO_L43P_6,OUTPUT,LVDCI_33,6,,NONE*,NONE**,,,LOCATED,,YES,DRIVER,
AG1,ram1_data<31>,IOB,IO_L19N_3,OUTPUT,LVDCI_33,3,,NONE*,NONE**,,,LOCATED,,YES,DRIVER,
AG2,ram1_data<32>,IOB,IO_L24P_3,OUTPUT,LVDCI_33,3,,NONE*,NONE**,,,LOCATED,,YES,DRIVER,
AG3,ram1_data<23>,IOB,IO_L04P_3,OUTPUT,LVDCI_33,3,,NONE*,NONE**,,,LOCATED,,YES,DRIVER,
AG4,ram1_data<24>,IOB,IO_L06P_3,OUTPUT,LVDCI_33,3,,NONE*,NONE**,,,LOCATED,,YES,DRIVER,
AG5,,,GND,,,,,,,,,,,,,
AG6,,,DONE,,,,,,,,,,,,,
AG7,analyzer4_data<15>,IOB,IO_L02P_4/D1,OUTPUT,LVTTL*,4,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
AG8,vga_out_green<1>,IOB,IO_L25N_4,OUTPUT,LVTTL*,4,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
AG9,vga_out_red<2>,IOB,IO_L25P_4,OUTPUT,LVTTL*,4,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
AG10,vga_out_red<1>,IOB,IO_L50N_4,OUTPUT,LVTTL*,4,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
AG11,disp_reset_b,IOB,IO_L50P_4,OUTPUT,LVDCI_33,4,,NONE*,NONE**,,,LOCATED,,NO,DRIVER,
AG12,vga_out_blue<4>,IOB,IO_L68N_4,OUTPUT,LVTTL*,4,12,SLOW,NONE**,,,LOCATED,,NO,NONE,
